Number xind yind east north data err wgt Elos Nlos Ulos
 195  998  764 129.069486411665 41.309260488465 -7.844679 0.26469     10 0.55493 0.10301 -0.82549
 196  930  669 129.064764189405 41.315857710740 -3.682447 0.31676   3456 0.55461 0.10297 -0.82572
 197  906  703 129.063097522725 41.313496599610 -7.521987 0.08574    224 0.55439 0.10294 -0.82586
 198  906  717 129.063097522725 41.312524377380 -9.645071 0.36258    208 0.55436 0.10294 -0.82589
 199  922  717 129.064208633845 41.312524377380 -10.683910 0.35518    198 0.55448 0.10295 -0.82581
 200  922  703 129.064208633845 41.313496599610 -7.226833 0.13504    224 0.55451 0.10296 -0.82578
 201  906  730 129.063097522725 41.311621599595 -12.593420 0.39446    208 0.55433 0.10294 -0.82591
 202  906  740 129.063097522725 41.310927155145 -13.948304 0.41845     63 0.55430 0.10293 -0.82592
 203  916  725 129.063791967175 41.311968821820 -13.599224 0.02012     16 0.55441 0.10295 -0.82585
 204  916  729 129.063791967175 41.311691044040 -13.784431 0.06848     12 0.55440 0.10294 -0.82586
 205  920  729 129.064069744955 41.311691044040 -13.598145 0.08996     12 0.55443 0.10295 -0.82584
 206  920  725 129.064069744955 41.311968821820 -14.103464 0.03862     16 0.55444 0.10295 -0.82583
 207  918  733 129.063930856065 41.311413266260 -11.255839 0.22273     48 0.55441 0.10294 -0.82585
 208  926  733 129.064486411625 41.311413266260 -10.543626 0.19981     48 0.55447 0.10295 -0.82581
 209  924  725 129.064347522735 41.311968821820 -14.732454 0.18046     16 0.55447 0.10295 -0.82581
 210  924  729 129.064347522735 41.311691044040 -12.606197 0.03514     12 0.55446 0.10295 -0.82582
 211  928  729 129.064625300515 41.311691044040 -11.186453 0.12131     12 0.55449 0.10296 -0.82580
 212  928  725 129.064625300515 41.311968821820 -14.942938 0.39213     16 0.55450 0.10296 -0.82579
 213  932  732 129.064903078295 41.311482710705 -9.273272 0.04718     12 0.55451 0.10296 -0.82578
 214  932  735 129.064903078295 41.311274377370 -10.374876 0.06292     12 0.55451 0.10296 -0.82579
 215  936  735 129.065180856075 41.311274377370 -9.274209 0.04242     12 0.55454 0.10296 -0.82577
 216  936  732 129.065180856075 41.311482710705 -9.504312 0.12137     12 0.55454 0.10296 -0.82576
 217  940  732 129.065458633855 41.311482710705 -9.966475 0.22806     12 0.55457 0.10296 -0.82574
 218  940  735 129.065458633855 41.311274377370 -8.716428 0.02907     12 0.55457 0.10296 -0.82574
 219  944  735 129.065736411635 41.311274377370 -8.289251 0.06187     12 0.55460 0.10297 -0.82572
 220  944  732 129.065736411635 41.311482710705 -9.822892 0.22102     12 0.55460 0.10297 -0.82572
 221  937  741 129.065250300520 41.310857710700 -7.372834 0.40960     69 0.55453 0.10296 -0.82577
 222  954  738 129.066430856085 41.311066044035 -6.746061 0.07589     28 0.55466 0.10298 -0.82568
 223  950  733 129.066153078305 41.311413266260 -9.029348 0.16004     48 0.55464 0.10297 -0.82569
 224  958  733 129.066708633865 41.311413266260 -8.925762 0.15273     48 0.55470 0.10298 -0.82565
 225  958  727 129.066708633865 41.311829932930 -8.564979 0.26260     55 0.55472 0.10298 -0.82564
 226  946  710 129.065875300525 41.313010488495 -6.779529 0.37351    684 0.55467 0.10298 -0.82567
 227  978  710 129.068097522765 41.313010488495 -5.579989 0.26116    861 0.55490 0.10301 -0.82551
 228  977  731 129.068028078320 41.311552155150 -8.905195 0.43543    198 0.55485 0.10300 -0.82555
 229 1010  710 129.070319745005 41.313010488495 -5.423066 0.49629    491 0.55512 0.10303 -0.82536
 230  994  669 129.069208633885 41.315857710740 -2.493985 0.37733   3280 0.55506 0.10302 -0.82540
